iter	RMSE
0	0.1635502805
1	0.1607783724
2	0.1580607813
3	0.1554126648
4	0.1530053575
5	0.1505590078
6	0.1480805806
7	0.1456603786
8	0.1434058941
9	0.1410921018
10	0.1389105606
11	0.1367588383
12	0.1346114447
13	0.1326116052
14	0.1305442496
15	0.1286329996
16	0.1266570994
17	0.1247355201
18	0.1228471641
19	0.1210027679
20	0.1193530432
21	0.1175898019
22	0.1160196569
23	0.1143581467
24	0.1127265614
25	0.1111332619
26	0.1095575288
27	0.1080177028
28	0.1065416723
29	0.1051756367
30	0.1037599377
31	0.1023694953
32	0.1010436566
33	0.09972406211
34	0.09845607892
35	0.09721362997
36	0.09600407097
37	0.09483065985
38	0.09370352282
39	0.09258162626
40	0.09155390425
41	0.09048009701
42	0.08944360668
43	0.08843706801
44	0.08750816855
45	0.0865491062
46	0.08562728468
47	0.08471913444
48	0.08385041822
49	0.08299675777
50	0.08220535448
51	0.08140007643
52	0.08067074642
53	0.07996790171
54	0.07922107173
55	0.07849551181
56	0.07784759944
57	0.07717487327
58	0.07656684385
59	0.07592980534
60	0.07530287741
61	0.07470485817
62	0.07416734872
63	0.07360294464
64	0.07305702171
65	0.07254296569
66	0.07203368206
67	0.07152917574
68	0.07104778543
69	0.07057402203
70	0.07011392668
71	0.06970847683
72	0.06928598072
73	0.06887451206
74	0.06850476625
75	0.06811091584
76	0.0677258423
77	0.06735769656
78	0.06700097617
79	0.06665705543
80	0.06633707157
81	0.06601404796
82	0.0657395539
83	0.06543322784
84	0.06514156072
85	0.06485776083
86	0.06459544359
87	0.0643280562
88	0.06407401574
89	0.06382844366
90	0.06358917357
91	0.06336178707
92	0.06313928969
93	0.06294371746
94	0.06273737504
95	0.06253590948
96	0.06234467018
97	0.06214750808
98	0.06196614009
99	0.06178261578
100	0.06161391249
101	0.06144397371
102	0.06128012154
103	0.06112991924
104	0.06098511865
105	0.06084488227
106	0.06070358461
107	0.06057004861
108	0.06044250066
109	0.06031401092
110	0.06019219211
111	0.06007187324
112	0.05996451926
113	0.05985648207
114	0.05975014831
115	0.05964580768
116	0.05954611406
117	0.05945149314
118	0.05936234417
119	0.05927315485
120	0.05918747876
121	0.05910686214
122	0.05902622278
123	0.0589491169
124	0.0588738244
125	0.05880232498
126	0.05873241072
127	0.05866485535
128	0.05860017497
129	0.05853764697
130	0.05847729451
131	0.05841904179
132	0.05836225609
133	0.05830741057
134	0.05825379229
135	0.05820333561
136	0.0581550471
137	0.05810827264
138	0.05806235355
139	0.05801797063
140	0.05797553244
141	0.0579344141
142	0.05789526831
143	0.05785725869
144	0.05782039941
145	0.05778521227
146	0.05775018581
147	0.05771969706
148	0.05768920195
149	0.05765806287
150	0.05762885219
151	0.05759980678
152	0.05757210172
153	0.05754525053
154	0.0575198589
155	0.05749394267
156	0.05746901776
157	0.05744587111
158	0.05742336631
159	0.05740268665
160	0.05738107022
161	0.05736023525
162	0.05734044333
163	0.0573209413
164	0.05730241762
165	0.05728304276
166	0.0572649839
167	0.05724847815
168	0.05723185342
169	0.05721617106
170	0.05720032863
171	0.05718501179
172	0.0571706494
173	0.05715624194
174	0.05714325985
175	0.05713058277
176	0.05711793934
177	0.0571055995
178	0.05709352666
179	0.05708100273
180	0.05706958331
181	0.05705897912
182	0.05704829388
183	0.05703835947
184	0.05702962352
185	0.05701997648
186	0.05701009016
187	0.0570006002
188	0.05699138039
189	0.0569824451
190	0.05697305388
191	0.05696455734
192	0.05695597264
193	0.05694811098
194	0.05693952252
195	0.05693216874
196	0.05692553195
197	0.05691817844
198	0.05691072953
199	0.05690393374
200	0.05689690326
201	0.0568901413
202	0.05688403825
203	0.05687761034
204	0.05687192621
205	0.05686589732
206	0.05686029558
207	0.05685483061
208	0.0568495119
209	0.05684387828
210	0.05683764584
211	0.05683275165
212	0.05682742656
213	0.05682192979
214	0.05681672386
215	0.05681260158
216	0.05680828961
217	0.05680356267
218	0.05679885879
219	0.05679474141
220	0.05679018443
221	0.05678528017
222	0.05678167064
223	0.05677780688
224	0.05677346295
225	0.05676958919
226	0.05676603979
227	0.05676197024
228	0.0567580445
229	0.05675470763
230	0.05675056437
231	0.05674718367
232	0.05674431913
233	0.05674095787
234	0.05673654286
