iter	Passed	Remaining
400	17314	25864
401	17366	25833
402	17401	25778
403	17445	25736
404	17484	25687
405	17525	25640
406	17565	25593
407	17606	25546
408	17647	25499
409	17684	25448
410	17725	25402
411	17768	25358
412	17805	25307
413	17847	25262
414	17887	25215
415	17923	25161
416	17965	25117
417	18005	25070
418	18045	25022
419	18093	24986
420	18135	24942
421	18179	24899
422	18219	24853
423	18260	24806
424	18302	24761
425	18347	24721
426	18391	24680
427	18429	24630
428	18469	24582
429	18514	24542
430	18559	24501
431	18594	24448
432	18639	24407
433	18677	24358
434	18713	24305
435	18752	24257
436	18792	24211
437	18838	24171
438	18882	24129
439	18926	24087
440	18966	24041
441	19005	23993
442	19052	23955
443	19093	23909
444	19136	23867
445	19183	23829
446	19222	23780
447	19263	23735
448	19303	23689
449	19346	23645
450	19385	23597
451	19426	23552
452	19467	23507
453	19508	23461
454	19549	23416
455	19590	23371
456	19631	23326
457	19671	23279
458	19720	23243
459	19763	23200
460	19809	23160
461	19855	23121
462	19898	23078
463	19942	23036
464	19984	22993
465	20032	22955
466	20076	22913
467	20121	22872
468	20160	22825
469	20201	22780
470	20240	22732
471	20282	22689
472	20323	22643
473	20377	22613
474	20425	22575
475	20469	22534
476	20510	22488
477	20553	22445
478	20597	22403
479	20635	22354
480	20681	22314
481	20718	22265
482	20767	22228
483	20816	22192
484	20857	22147
485	20893	22097
486	20937	22055
487	20981	22013
488	21020	21965
489	21059	21918
490	21104	21877
491	21143	21831
492	21180	21781
493	21219	21734
494	21257	21687
495	21307	21650
496	21356	21614
497	21404	21576
498	21442	21528
499	21484	21484
500	21529	21443
501	21572	21400
502	21618	21360
503	21663	21319
504	21699	21269
505	21738	21222
506	21782	21181
507	21828	21141
508	21871	21098
509	21914	21055
510	21955	21010
511	22000	20969
512	22044	20927
513	22086	20883
514	22123	20834
515	22162	20788
516	22201	20741
517	22242	20696
518	22289	20657
519	22333	20615
520	22372	20568
521	22431	20540
522	22472	20496
523	22513	20451
524	22552	20404
525	22590	20357
526	22633	20314
527	22670	20266
528	22703	20214
529	22750	20174
530	22795	20133
531	22840	20092
532	22873	20041
533	22913	19996
534	22956	19952
535	22996	19907
536	23043	19867
537	23088	19826
538	23132	19785
539	23177	19743
540	23212	19693
541	23251	19648
542	23287	19599
543	23323	19550
544	23358	19500
545	23408	19464
546	23453	19423
547	23488	19373
548	23532	19331
549	23575	19288
550	23618	19246
551	23652	19196
552	23693	19152
553	23728	19103
554	23775	19063
555	23819	19021
556	23858	18975
557	23894	18926
558	23937	18884
559	23977	18839
560	24019	18795
561	24061	18752
562	24107	18712
563	24152	18671
564	24200	18631
565	24240	18587
566	24285	18546
567	24331	18505
568	24376	18464
569	24415	18418
570	24461	18377
571	24501	18333
572	24538	18286
573	24576	18239
574	24610	18190
575	24648	18143
576	24691	18101
577	24743	18065
578	24789	18024
579	24830	17980
580	24870	17935
581	24911	17891
582	24953	17848
583	24990	17801
584	25024	17752
585	25064	17707
586	25107	17664
587	25143	17617
588	25191	17578
589	25228	17531
590	25271	17489
591	25320	17450
592	25363	17407
593	25400	17361
594	25456	17327
595	25509	17291
596	25553	17249
597	25599	17208
598	25639	17164
599	25685	17123
600	25725	17079
601	25773	17039
602	25812	16994
603	25858	16953
604	25892	16905
605	25933	16861
606	25970	16814
607	26020	16776
608	26055	16728
609	26092	16682
610	26140	16642
611	26184	16600
612	26223	16555
613	26259	16508
614	26306	16468
615	26348	16424
