Model,Best Params,CV Accuracy,Test Accuracy,Precision,Recall,F1,ROC-AUC,TN,FP,FN,TP
Logistic Regression,C=0.1,0.9824175824175825,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9957010582010581,40,2,1,71
Linear SVC,C=0.01,0.9780219780219781,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.996031746031746,41,1,1,71
RBF SVC,"C=10, γ=0.01",0.9758241758241759,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9976851851851851,41,1,1,71
Poly SVC (deg=3),"C=0.1, γ=1",0.9626373626373628,0.956140350877193,0.971830985915493,0.9583333333333334,0.965034965034965,0.9930555555555556,40,2,3,69
